,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
PC|5091,ENSG00000173599,PC,5091,11,0.52,0.00044,0.0077
ZNF565|147929,ENSG00000196357,ZNF565,147929,19,-0.23,0.00044,0.0077
COPZ2|51226,ENSG00000005243,COPZ2,51226,17,0.55,0.00044,0.0078
SLC3A2|6520,ENSG00000168003,SLC3A2,6520,11,0.32,0.00045,0.0078
MTHFD1|4522,ENSG00000100714,MTHFD1,4522,14,0.53,0.00045,0.0078
LOC646214|646214,NA,NA,NA,NA,-0.26,0.00045,0.0079
YBX1|4904,ENSG00000065978,YBX1,4904,1,0.25,0.00045,0.0079
COPS6|10980,ENSG00000168090,COPS6,10980,7,0.23,0.00045,0.0079
HAUS3|79441,ENSG00000214367,HAUS3,79441,4,-0.23,0.00045,0.0079
PNMAL1|55228,ENSG00000182013,PNMAL1,55228,19,-1.2,0.00046,0.008
CNTD2|79935,ENSG00000105219,CNTD2,79935,19,-1,0.00046,0.008
C2orf29|55571,ENSG00000158435,CNOT11,55571,2,-0.25,0.00046,0.008
SLC6A11|6538,ENSG00000132164,SLC6A11,6538,3,-1.6,0.00046,0.008
PCTP|58488,ENSG00000141179,PCTP,58488,17,0.34,0.00046,0.008
PPFIA2|8499,ENSG00000139220,PPFIA2,8499,12,0.63,0.00046,0.008
WHAMML1|339005,NA,NA,NA,NA,-0.31,0.00047,0.008
MSL2|55167,ENSG00000174579,MSL2,55167,3,-0.19,0.00047,0.0081
ST3GAL3|6487,ENSG00000126091,ST3GAL3,6487,1,0.31,0.00047,0.0081
TCEB1|6921,ENSG00000154582,TCEB1,6921,8,0.32,0.00047,0.0081
BOK|666,ENSG00000176720,BOK,666,2,0.56,0.00047,0.0081
SLC13A2|9058,ENSG00000007216,SLC13A2,9058,17,-1.2,0.00047,0.0081
GRIK4|2900,ENSG00000149403,GRIK4,2900,11,-0.92,0.00048,0.0082
MFSD10|10227,ENSG00000109736,MFSD10,10227,4,-0.45,0.00048,0.0082
NAT2|10,ENSG00000156006,NAT2,10,8,1.3,0.00049,0.0083
BTG1|694,ENSG00000133639,BTG1,694,12,-0.33,0.00049,0.0083
DIO3OS|64150,NA,NA,NA,NA,-0.85,0.00049,0.0083
TSEN2|80746,ENSG00000154743,TSEN2,80746,3,0.25,0.00049,0.0084
CYB5A|1528,ENSG00000166347,CYB5A,1528,18,0.49,0.00049,0.0084
CEP135|9662,ENSG00000174799,CEP135,9662,4,-0.42,0.00049,0.0084
CGGBP1|8545,ENSG00000163320,CGGBP1,8545,3,-0.18,0.00049,0.0084
NEK3|4752,ENSG00000136098,NEK3,4752,13,0.48,0.00049,0.0084
