,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
BTN3A3|10384,ENSG00000111801,BTN3A3,10384,6,-1.3,1.1e-05,0.0035
PIP5K1B|8395,ENSG00000107242,PIP5K1B,8395,9,-2.8,1.1e-05,0.0035
LCN2|3934,ENSG00000148346,LCN2,3934,9,-4.1,1.1e-05,0.0036
TRH|7200,ENSG00000170893,TRH,7200,3,4.2,1.2e-05,0.0036
COG1|9382,ENSG00000166685,COG1,9382,17,0.72,1.2e-05,0.0037
PSMC5|5705,ENSG00000087191,PSMC5,5705,17,0.88,1.3e-05,0.004
GPR113|165082,ENSG00000173567,ADGRF3,165082,2,-1.3,1.4e-05,0.0041
RPS6KB1|6198,ENSG00000108443,RPS6KB1,6198,17,0.98,1.5e-05,0.0043
PPARGC1A|10891,ENSG00000109819,PPARGC1A,10891,4,-2.6,1.5e-05,0.0043
QSOX2|169714,ENSG00000165661,QSOX2,169714,9,-0.9,1.6e-05,0.0043
HEATR6|63897,ENSG00000068097,HEATR6,63897,17,1,1.6e-05,0.0043
C17orf80|55028,ENSG00000141219,C17orf80,55028,17,0.73,1.7e-05,0.0044
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.56,1.7e-05,0.0044
NUP85|79902,ENSG00000125450,NUP85,79902,17,0.75,1.8e-05,0.0046
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.59,1.9e-05,0.0046
IRF4|3662,ENSG00000137265,IRF4,3662,6,-2.6,1.9e-05,0.0046
STRADA|92335,ENSG00000266173,STRADA,92335,17,0.72,1.9e-05,0.0046
LOC100132111|100132111,NA,NA,NA,NA,-1.7,1.9e-05,0.0046
RNFT1|51136,ENSG00000189050,RNFT1,51136,17,0.99,1.9e-05,0.0047
LAMP3|27074,ENSG00000078081,LAMP3,27074,3,-2.5,2e-05,0.0048
TPD52|7163,ENSG00000076554,TPD52,7163,8,1.3,2e-05,0.0048
ZNF470|388566,ENSG00000197016,ZNF470,388566,19,-1.1,2.2e-05,0.005
BCL2L14|79370,ENSG00000121380,BCL2L14,79370,12,-2.6,2.3e-05,0.0052
CACNG1|786,ENSG00000108878,CACNG1,786,17,3.2,2.4e-05,0.0053
NPEPL1|79716,ENSG00000215440,NPEPL1,79716,20,1.1,2.5e-05,0.0055
B3GNTL1|146712,ENSG00000175711,B3GNTL1,146712,17,1.1,2.6e-05,0.0057
NWD1|284434,ENSG00000188039,NWD1,284434,19,-2.8,2.7e-05,0.0057
LOC285033|285033,NA,NA,NA,NA,-0.75,2.7e-05,0.0057
HS3ST3B1|9953,ENSG00000125430,HS3ST3B1,9953,17,-1.8,2.7e-05,0.0057
TEX19|400629,ENSG00000182459,TEX19,400629,17,2.2,2.8e-05,0.0058
C17orf95|124512,ENSG00000181038,METTL23,124512,17,0.69,2.8e-05,0.0058
RBM7|10179,ENSG00000076053,RBM7,10179,11,-0.87,2.9e-05,0.0058
WBP2|23558,ENSG00000132471,WBP2,23558,17,0.76,3e-05,0.0058
SLC26A11|284129,ENSG00000181045,SLC26A11,284129,17,0.9,3e-05,0.0058
C17orf62|79415,ENSG00000178927,C17orf62,79415,17,0.75,3e-05,0.0058
LRRC2|79442,ENSG00000163827,LRRC2,79442,3,-1.9,3.2e-05,0.0061
SAP30BP|29115,ENSG00000161526,SAP30BP,29115,17,0.68,3.2e-05,0.0061
RPTOR|57521,ENSG00000141564,RPTOR,57521,17,0.7,3.2e-05,0.0061
FAM188B|84182,ENSG00000106125,FAM188B,84182,7,-1.5,3.2e-05,0.0061
GRB2|2885,ENSG00000177885,GRB2,2885,17,0.72,3.6e-05,0.0066
EXOC7|23265,ENSG00000182473,EXOC7,23265,17,0.58,3.9e-05,0.0071
TLE4|7091,ENSG00000106829,TLE4,7091,9,-1.4,3.9e-05,0.0071
HLA-H|3136,NA,NA,NA,NA,-1.5,4e-05,0.0071
TP63|8626,ENSG00000073282,TP63,8626,3,-3,4.4e-05,0.0078
CASP1|834,ENSG00000137752,CASP1,834,11,-1.4,4.5e-05,0.0079
VPS54|51542,ENSG00000143952,VPS54,51542,2,-0.72,4.6e-05,0.008
ZNF879|345462,ENSG00000234284,ZNF879,345462,5,-1.3,5e-05,0.0085
MRPL38|64978,ENSG00000204316,MRPL38,64978,17,0.87,5.1e-05,0.0085
STRA13|201254,ENSG00000169689,STRA13,201254,17,1.1,5.1e-05,0.0085
PPARA|5465,ENSG00000186951,PPARA,5465,22,-1.3,5.2e-05,0.0086
TTLL12|23170,ENSG00000100304,TTLL12,23170,22,1.1,5.2e-05,0.0086
SEL1L3|23231,ENSG00000091490,SEL1L3,23231,4,-1.7,5.3e-05,0.0087
CCR2|729230,ENSG00000121807,CCR2,729230,3,-2.1,5.5e-05,0.0088
NCOA7|135112,ENSG00000111912,NCOA7,135112,6,-1.5,5.5e-05,0.0088
KRT5|3852,ENSG00000186081,KRT5,3852,12,-4.5,5.7e-05,0.0088
METTL2A|339175,ENSG00000087995,METTL2A,339175,17,0.72,5.7e-05,0.0088
DCXR|51181,ENSG00000169738,DCXR,51181,17,1.2,5.7e-05,0.0088
KIAA0195|9772,ENSG00000177728,TMEM94,9772,17,0.82,5.7e-05,0.0088
ICOS|29851,ENSG00000163600,ICOS,29851,2,-2.4,6e-05,0.0091
LINGO4|339398,ENSG00000213171,LINGO4,339398,1,-2,6.1e-05,0.0092
CYTIP|9595,ENSG00000115165,CYTIP,9595,2,-1.8,6.2e-05,0.0092
LGR6|59352,ENSG00000133067,LGR6,59352,1,-3.1,6.6e-05,0.0097
SRP68|6730,ENSG00000167881,SRP68,6730,17,0.57,6.7e-05,0.0097
GPRIN2|9721,ENSG00000204175,GPRIN2,9721,10,-3.1,6.7e-05,0.0097
PRKCQ|5588,ENSG00000065675,PRKCQ,5588,10,-2.2,6.8e-05,0.0097
MFSD11|79157,ENSG00000092931,MFSD11,79157,17,0.63,7e-05,0.01
CXCR6|10663,ENSG00000172215,CXCR6,10663,3,-2,7.2e-05,0.01
ACY3|91703,ENSG00000132744,ACY3,91703,11,-2.6,7.2e-05,0.01
RASAL1|8437,ENSG00000111344,RASAL1,8437,12,-3.2,7.3e-05,0.01
MARCH9|92979,ENSG00000139266,MARCH9,92979,12,0.82,7.4e-05,0.01
SYNGR2|9144,ENSG00000108639,SYNGR2,9144,17,0.83,7.6e-05,0.01
ADAMTSL4|54507,ENSG00000143382,ADAMTSL4,54507,1,-1.5,7.9e-05,0.011
CANT1|124583,ENSG00000171302,CANT1,124583,17,0.92,7.9e-05,0.011
AMPD1|270,ENSG00000116748,AMPD1,270,1,-2.4,8e-05,0.011
PPL|5493,ENSG00000118898,PPL,5493,16,-1.3,8.8e-05,0.012
USP32|84669,ENSG00000170832,USP32,84669,17,1.1,8.9e-05,0.012
ACVR1C|130399,ENSG00000123612,ACVR1C,130399,2,-2.1,9e-05,0.012
AMZ2P1|201283,ENSG00000214174,AMZ2P1,201283,17,0.85,9.1e-05,0.012
EYA4|2070,ENSG00000112319,EYA4,2070,6,2.5,9.1e-05,0.012
ADD2|119,ENSG00000075340,ADD2,119,2,-2,9.3e-05,0.012
HLA-DRB6|3128,ENSG00000229391,HLA-DRB6,3128,6,-2.1,9.4e-05,0.012
COIL|8161,ENSG00000121058,COIL,8161,17,0.66,9.4e-05,0.012
PDZK1IP1|10158,ENSG00000162366,PDZK1IP1,10158,1,-2.9,9.6e-05,0.012
CUX2|23316,ENSG00000111249,CUX2,23316,12,2.7,9.8e-05,0.012
ABCD2|225,ENSG00000173208,ABCD2,225,12,-2.1,1e-04,0.012
DHRSX|207063,ENSG00000169084,DHRSX,207063,X,0.7,1e-04,0.012
PTGFR|5737,ENSG00000122420,PTGFR,5737,1,-2.3,1e-04,0.012
C17orf90|339229,ENSG00000204237,OXLD1,339229,17,1,0.00011,0.013
BIRC3|330,ENSG00000023445,BIRC3,330,11,-1.7,0.00011,0.013
FAM177A1|283635,ENSG00000151327,FAM177A1,283635,14,0.63,0.00011,0.013
LRRC45|201255,ENSG00000169683,LRRC45,201255,17,1.1,0.00011,0.014
TREML2|79865,ENSG00000112195,TREML2,79865,6,-1.9,0.00012,0.014
TLK2|11011,ENSG00000146872,TLK2,11011,17,0.66,0.00012,0.014
FDXR|2232,ENSG00000161513,FDXR,2232,17,1.2,0.00012,0.014
CCDC43|124808,ENSG00000180329,CCDC43,124808,17,0.62,0.00012,0.014
PTRH2|51651,ENSG00000141378,PTRH2,51651,17,0.94,0.00013,0.014
HAGH|3029,ENSG00000063854,HAGH,3029,16,0.94,0.00013,0.015
CCDC137|339230,ENSG00000185298,CCDC137,339230,17,0.9,0.00013,0.015
C17orf89|284184,ENSG00000224877,C17orf89,284184,17,1,0.00014,0.015
C17orf67|339210,ENSG00000214226,C17orf67,339210,17,1.2,0.00014,0.015
L3MBTL4|91133,ENSG00000154655,L3MBTL4,91133,18,-2,0.00014,0.015
MIF4GD|57409,ENSG00000125457,MIF4GD,57409,17,0.74,0.00014,0.015
SLC15A2|6565,ENSG00000163406,SLC15A2,6565,3,-2.2,0.00014,0.015
MET|4233,ENSG00000105976,MET,4233,7,-1.9,0.00014,0.015
HN1|51155,ENSG00000189159,HN1,51155,17,1.1,0.00014,0.015
KCNA3|3738,ENSG00000177272,KCNA3,3738,1,-2,0.00014,0.015
ASPSCR1|79058,ENSG00000169696,ASPSCR1,79058,17,0.93,0.00014,0.015
IFIH1|64135,ENSG00000115267,IFIH1,64135,2,-1.3,0.00015,0.015
ATXN7L1|222255,ENSG00000146776,ATXN7L1,222255,7,-0.71,0.00015,0.015
MCCC2|64087,ENSG00000131844,MCCC2,64087,5,1.2,0.00015,0.015
BTN3A1|11119,ENSG00000026950,BTN3A1,11119,6,-0.98,0.00015,0.015
C17orf56|146705,ENSG00000167302,ENTHD2,146705,17,0.83,0.00015,0.015
TMEM49|81671,ENSG00000062716,VMP1,81671,17,0.85,0.00015,0.015
P2RY10|27334,ENSG00000078589,P2RY10,27334,X,-2.2,0.00016,0.016
NFIL3|4783,ENSG00000165030,NFIL3,4783,9,-1.3,0.00016,0.016
EXOSC9|5393,ENSG00000123737,EXOSC9,5393,4,0.54,0.00016,0.016
CALML3|810,ENSG00000178363,CALML3,810,10,-3.8,0.00017,0.017
SKA2|348235,ENSG00000182628,SKA2,348235,17,0.92,0.00017,0.017
UBASH3A|53347,ENSG00000160185,UBASH3A,53347,21,-2.2,0.00017,0.017
SLC25A10|1468,ENSG00000183048,SLC25A10,1468,17,0.95,0.00017,0.017
CD200R1|131450,ENSG00000163606,CD200R1,131450,3,-1.6,0.00018,0.017
PART1|25859,ENSG00000152931,PART1,25859,5,-3.1,0.00018,0.017
RECQL5|9400,ENSG00000108469,RECQL5,9400,17,0.68,0.00018,0.017
MAP3K13|9175,ENSG00000073803,MAP3K13,9175,3,-1.3,0.00018,0.017
LOC729799|729799,NA,NA,NA,NA,-1.2,0.00018,0.017
ZNF189|7743,ENSG00000136870,ZNF189,7743,9,-0.57,0.00018,0.017
MX1|4599,ENSG00000157601,MX1,4599,21,-1.9,0.00018,0.017
